Number,Date,Hare,Start,Notes,Kennel
257,2004-05-10,Pubic Perm,Outer Sunset,,SFH3
258,2004-05-13,Rongjon,Lincoln Park,,Gypsies
259,2004-05-14,Handjob for Humanity,North Beach,B2B,SFH3
260,2004-05-15,Glory Hole,Presidio,B2B,SFH3
0,2004-05-16,,,B2B,SFH3
261,2004-05-20,Enter the Gerbil & Manisex Destiny,Mt. Davidson,,Gypsies
262,2004-05-23,Excess,Las Trampas,,EBH3
263,2004-05-24,F.O.S.,Bernal Heights,,SFH3
264,2004-06-04,Bigfoot & Manisex Destiny,North Beach,,FMH3
265,2004-06-06,Tongueless & Fits In,Marin Headlands,,EBH3
266,2004-06-07,S.O.S. & Chamber Pot,Bernal Heights,,SFH3
267,2004-06-10,Tits 4 Hire,Potrero Hill,,Gypsies
268,2004-06-14,Splat & Bear Trap,McLaren Park,,SFH3
269,2004-06-17,Drill Me & Danglin' Anglin,Golden Gate Park,,Gypsies
0,2004-06-18,,,Whip It Out At The Ballgame III,
270,2004-06-20,Y.B.F. & Buttfloss,Redwood,,EBH3
271,2004-07-01,Bone Marrow,Noe Valley,,Gypsies
272,2004-07-02,Splat,Rockridge,,FMH3
273,2004-07-08,I.R. Stupid,Sunset,,Gypsies
274,2004-07-11,Apple Pie Ho & Penis Flytrap,Thousand Oaks,,Ventura H3
0,2004-07-22,,Cardiff,Red Dress,
275,2004-07-24,,Cardiff,World Interhash,
276,2004-07-25,,Cardiff,World Interhash,
277,2004-07-29,Gonad,Haight,,Gypsies
278,2004-07-30,Fits In & Tongueless & Gerbil,North Beach,,FMH3
0,2004-08-01,,,Marathon Beer Check,SFH3
279,2004-08-05,Manhole,Civic Center,,Gypsies
280,2004-08-12,Lois Lame,Golden Gate Park,,Gypsies
281,2004-08-15,Y.P.L.,Pleasanton,,EBH3
282,2004-08-16,Tom Thumb,Russian Hill,,SFH3
283,2004-08-19,Peteophile & Scarlett,Presidio,,Gypsies
0,2004-08-20,,,AGM,SFH3
284,2004-08-22,,,Anti-Ranger Run,
285,2004-08-27,Wet Nurse & Fill 'er Up,Richmond,,FMH3
0,2004-08-28,,,Scarlett's Wedding,
286,2004-09-02,Gerbil & Mr. BoneJangles,Haight,,Gypsies
287,2004-09-06,Naked Hasher & Bitch's Bitch,Marina,,SFH3
288,2004-09-09,Mr. BoneJangles,Pacific Heights,,Gypsies
289,2004-09-12,Sheep Style,Tilden,,EBH3
290,2004-09-13,Sniff My Box & Coitus Avoidus,North Beach,,SFH3
291,2004-09-16,Bigfoot & Y.B.F.,Golden Gate Park,,Gypsies
292,2004-09-20,Jizzard & Fucked Up Parts,Presidio,,SFH3
293,2004-09-23,Ben Gay,St. Francis,,Gypsies
294,2004-09-24,Mr. BoneJangles & Just Alexa,SOMA,,FMH3
295,2004-09-26,B.O.T.S. & F.O.S.,Moraga,,EBH3
296,2004-09-27,Who's Your Daddy & Rocky Mountain Oyster,St. Francis,,SFH3
297,2004-09-30,Tongueless & I.R. Stupid,Golden Gate Park,Gypsies 600,Gypsies
298,2004-10-01,Shithead,,Gypsies 600 Pub Crawl,Gypsies
299,2004-10-02,Morning Missile & Gunga Dick & I.R. Stupid,Palo Alto,SVH3 700,SVH3
300,2004-10-03,Crutch Cargo,San Bruno,SVH3 700,SVH3
301,2004-10-07,Mr. BoneJangles,Lincoln Park,,Gypsies
302,2004-10-10,St. Barf,Orinda,,EBH3
303,2004-10-14,Holy Nipples,Castro,,Gypsies
304,2004-10-21,Racks of Lamb & Spanks,Marina,,Gypsies
305,2004-10-24,Circle Jerk,Berkeley,,EBH3
306,2004-10-28,Splat & Bear Trap,Mission Bay/South Beach,,Gypsies
307,2004-10-29,Panty Free,North Beach,,FMH3
308,2004-10-31,Chickless Boner,Noe Valley,Hashoween,SFH3
309,2004-11-11,I.R. Stupid,Sunset,,Gypsies
310,2004-11-18,Peteophile & Scarlett,West Portal,,Gypsies
311,2004-11-21,Oral Roberts,Tilden,,EBH3
312,2004-11-25,Splat & Tongueless,Rodeo Beach,,Gypsies
313,2004-11-27,Pussy Killer & D.S.W.B.,Foster City,,SVH3
314,2004-12-02,Gonad,Richmond,,Gypsies
315,2004-12-05,Splat & Bear Trap & Peter Jackoff,Martinez,,EBH3
316,2004-12-09,Betty Cock In Her & Bear Trap,Glen Park,,Gypsies
0,2004-12-11,,,Snowball,SFH3
317,2004-12-13,,Presidio,,SFH3
318,2004-12-16,Mr. BoneJangles,South Beach,,Gypsies
319,2004-12-17,Svendover & Zydeco,Fisherman's Wharf,,FMH3
320,2004-12-19,Thumper & A.J.,Knowland Park,,EBH3
321,2005-01-02,Whisker Biscuit & Golden Receiver,Alameda,,EBH3
322,2005-01-06,Scarlett & Peteophile,Presidio,,Gypsies
323,2005-01-08,,Tempe,,Zonie H3
324,2005-01-13,Drill Me & Danglin' Anglin,Twin Peaks,,Gypsies
325,2005-01-16,Little Johnson,Redwoods Park,,EBH3
326,2005-01-17,Rocky Mountain Oyster,West Portal,,SFH3
327,2005-01-20,Bear Trap & Early To Bed,Western Addition,,Gypsies
328,2005-01-21,Peter Jackoff,Albany,,FMH3
329,2005-01-24,Glory Hole & Crabs,Russian Hill,,SFH3
330,2005-01-27,I.R. Stupid,Lincoln Park,,Gypsies
331,2005-01-30,Sheep Style,Alamo,,EBH3
332,2005-02-03,Chickless Boner,Castro,,Gypsies
333,2005-02-06,Pencil Dick,Fort Baker,,Marin H3
334,2005-02-10,Naked Hasher & Just Bob,North Beach,,Gypsies
335,2005-02-13,Oral Roberts,Briones,,EBH3
336,2005-02-24,Manisex Destiny & Betty Cock In Her,Haight,,Gypsies
337,2005-02-25,Spouse & Crutch Cargo,Burlingame,,FHM3
338,2005-02-27,Thumper & McTaco,Sibley,,EBH3
0,2005-03-04,,,Tongueless's Birthday,
0,2005-03-05,,,Urban Iditarod,
339,2005-03-07,Ball Handler & Little Willy,Downtown,,SFH3
340,2005-03-10,Accuprick & Spouse,Campbell,,FHAC-U
341,2005-03-11,,,Betty Ford XIX,OCH3
342,2005-03-12,,,Betty Ford XIX,OCH3
343,2005-03-13,,,Betty Ford XIX,OCH3
344,2005-03-14,Circle Jerk & Pythagorass,Bernal Heights,,SFH3
345,2005-03-17,Mr. BoneJangles & Spanks,North Beach,,Gypsies
346,2005-03-24,I.R. Stupid & Tongueless,Financial District,Black Dress,Gypsies
347,2005-03-27,Butt Floss & B.O.T.S.,Stonewall,,EBH3
348,2005-03-28,Oral Roberts & Captain Organ,Haight/Hayes,,SFH3
349,2005-03-31,Splat,Russian Hill,,Gypsies
350,2005-04-03,Danglin' Anglin,Petaluma,Pound It III,Gypsies
351,2005-04-07,Rongjon,Corona Heights,AGM,Gypsies
352,2005-04-10,Splat & Y.B.F.,Albany,AGM,EBH3
353,2005-04-25,,,,Christchurch H3
354,2005-05-05,Holy Nipples & R.U. Gay,McLaren Park,,Gypsies
355,2005-05-09,Cums Quickly,Glen Park,,SFH3
356,2005-05-12,Ronjon,China Basin,,Gypsies
357,2005-05-13,Wet Nurse & Escrowtum,Polk Street,B2B,SFH3
358,2005-05-14,Who's Your Daddy et al.,,B2B,SFH3
0,2005-05-15,,,B2B,SFH3
359,2005-05-19,Enter The Gerbil,Presidio,,Gypsies
360,2005-05-20,Gonad,Potrero Hill,,FMH3
361,2005-05-22,DFlowered & Bananas,Union City,,EBH3
362,2005-05-26,Dr. Kimble,Corte Madera,,Gypsies
363,2005-05-30,Whoracle & Handjob 4 Humanity,Presidio,,SFH3
364,2005-06-02,Tits 4 Hire & Do Me Decimal,Bernal Heights,,Gypsies
365,2005-06-05,Tongueless & Fits-In,Novato,,EBH3
366,2005-06-09,Chickless Boner,Noe Valley,,Gypsies
0,2005-06-10,,,Whip It Out IV,
367,2005-06-13,Pythagorass & Nutlicker,Golden Gate Park,,SFH3
368,2005-06-16,Pied Piper & I.R. Stupid,Daly City,,Gypsies
369,2005-06-19,F.O.S. & L.C.B.,Shepherd Canyon,,EBH3
370,2005-06-23,Drill Me & Danglin' Anglin,Rodeo Beach,,Gypsies
371,2005-06-24,Bigfoot & Manisex Destiny,Castro,,FMH3
372,2005-06-27,Eat My Pussy & Fuck Buddy,Castro,,SFH3
373,2005-06-30,Open Wide,Corte Madera,,Gypsies
374,2005-07-03,Splat,Downtown Oakland,,EBH3
375,2005-07-07,Manisex Destiny,Forest Hill,,Gypsies
376,2005-07-14,Likes To Lick,Marin City,,Gypsies
